Timestamp,Age,Occupation,Did you vote in the last election?,"(If “No,” ask this question)

Why didn’t you vote? ",Why did you vote for your candidate?  ,Which party do you belong to?,Why do you think the NPP parliamentary candidate lost in the election?,Did you know about Frederick Obeng Adom’s projects as MP before the election?,Do you think Frederick Obeng Adom solved the community’s problems?  ,Why do you think Emmanuel Drah (NDC) won?,What did the NDC do better than the NPP?  ,Which of the former MPs would you say was the best performing MP for the constituency?,Community name:,What are the biggest problems in your community? (Pick 2 or more)  ,Who addressed these issues better during the election?,Suggestions for the team that wants to win in 2028,Do you think the election results were fair and reflect the people’s choice?
12/24/2024 14:47,22,Seamstress ,Yes,,For change ,NDC,I don’t know ,"No, I didn't know about them","He tried, but it wasn't enough","He was more visible and approachable, People were not happy with the NPP government",They made stronger promises,Salas Mensah,Brekusu lane,Jobs,Emmanuel Drah (NDC),"Job creation,massive campaign ",Yes
12/24/2024 14:50,28,Trader ,Yes,,I liked their projects or promises,NDC,The NDC’s promises sounded better,"I heard, but they didn't help me, Boreholes ","No, he didn't solve major issues",The NDC’s promises were better,They made stronger promises,,,"Clean water, Lavatories ",Emmanuel Drah (NDC),They should provide us youth with jobs ,Yes
12/24/2024 14:50,23,Simstress ,Yes,,"I support their party, I liked their projects or promises",NPP,None,"Yes, I knew about them, Boreholes and roads construction ","He tried, but it wasn't enough","People were not happy with the NPP government, For change ","They focused on key issues (farming, roads, schools)",Frederick Adom,Cocoa market ,"Bad roads, Jobs, Clean water",Neither,Provide the needs of the citizens ,Dont know
12/24/2024 14:51,28,Unemployed ,No,Nothing ,,,,,,,,,,,,,
12/24/2024 14:55,60,Trader ,Yes,,I liked their projects or promises,NDC,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","I heard, but they didn't help me","He tried, but it wasn't enough",For change ,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,,"Clean water, Lavatories ",Neither,They should make stronger policies ,Dont know
12/24/2024 14:56,45,Trader,Yes,,"I support their party, I liked their projects or promises",NPP,"People were not happy with the NPP government and wanted change, For change ","Yes, I knew about them, Road constractions ","He tried, but it wasn't enough",People were not happy with the NPP government,For change ,Frederick Adom,Cocoa market,Jobs,Emmanuel Drah (NDC),Depends on what the current MP will do ,Dont know
12/24/2024 14:57,50,Farmer ,Yes,,They were active in the community,NDC,He didn’t do enough for the community,"I heard, but they didn't help me","He tried, but it wasn't enough",He was more visible and approachable,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,f Man,"Help for farmers (tools, fertilizer), Bad roads, Jobs, Schools and education, Health Services, Clean water",Neither,Job creation ,Yes
12/24/2024 14:57,36,Teacher,Yes,,For change,None,"People were not happy with the NPP government and wanted change, People vote for NDC here","I heard, but they didn't help me","He tried, but it wasn't enough","The NDC’s promises were better, People were not happy with the NPP government","They made stronger promises, They focused on key issues (farming, roads, schools)",Frederick Adom,Kofiman,"Bad roads, Jobs",Neither,Do their corrections,Yes
12/24/2024 14:57,,Trader,Yes,,I liked their projects or promises,NDC,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","No, he didn't solve major issues","He was more visible and approachable, The NDC’s promises were better","They made stronger promises, They focused on key issues (farming, roads, schools)",Salas Mensah,Ahenbrom ,"Jobs, Electricity ",Frederick Obeng Adom (NPP),Fulfill their promises ,Yes
12/24/2024 15:02,52,Trader,Yes,,"I support their party, I liked their projects or promises",NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them, Roads, boreholes and security services ","Yes, he did most of the work needed",None ,None,Frederick Adom,Cocoa market ,Jobs,Frederick Obeng Adom (NPP),Depends on what the current MP will do ,Dont know
12/24/2024 15:02,35,Hairdresser ,Yes,,"I support their party, For peace ",NDC,Their work wasn’t impressive ,"Yes, I knew about them, Awards, electricity ","No, he didn't solve major issues","People were not happy with the NPP government, For change ","They focused on key issues (farming, roads, schools)",Salas Mensah,Salem,"Jobs, Clean water",Emmanuel Drah (NDC),"Job creation, fulfill their promises ",Yes
12/24/2024 15:03,19,Hairdresser ,Yes,,I liked their projects or promises,NDC,Unemployment ,"No, I didn't know about them","He tried, but it wasn't enough",He was more visible and approachable,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,Kofi Man ,"Bad roads, Jobs, Health Services, Clean water",Emmanuel Drah (NDC),Job creation ,
12/24/2024 15:04,,Hairdresser ,Yes,,I support their party,NPP,Don't know ,"Yes, I knew about them, Awards","Yes, he did most of the work needed",People were not happy with the NPP government,Time ,Frederick Adom,,Jobs,Frederick Obeng Adom (NPP),They should make stronger policies ,Yes
12/24/2024 15:05,18,Unemployed ,No,My name wasn’t on the voter list,,,,,,,,,,,,,
12/24/2024 15:05,,Trader,Yes,,"I support their party, I liked their projects or promises",NPP,"People were not happy with the NPP government and wanted change, His team didn’t help ","Yes, I knew about them, Roads ,Awards ","He tried, but it wasn't enough",People were not happy with the NPP government,"They focused on key issues (farming, roads, schools)",Frederick Adom,Salem,"Jobs, Clean water",Frederick Obeng Adom (NPP),Fulfill their promises ,Yes
12/24/2024 15:05,26,Trader,Yes,,I liked their projects or promises,NPP,Greediness ,"Yes, I knew about them, Roads construction ","Yes, he did most of the work needed",None,None ,Frederick Adom,Cocoa market ,"Jobs, Clean water",Emmanuel Drah (NDC),Continue their good deeds,Dont know
12/24/2024 15:08,49,Trader,Yes,,I liked their projects or promises,NPP,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","Yes, he did most of the work needed",None ,None ,Frederick Adom,Cocoa market ,Jobs,Frederick Obeng Adom (NPP),Depends on what the current MP will do ,Dont know
12/24/2024 15:08,19,Seamstress apprentice,Yes,,"I support their party, For change",NPP,He didn’t do enough for the community,"I heard, but they didn't help me","No, he didn't solve major issues",The people wanted change,"They were better at reaching people, They made stronger promises",Assifu Bekoe,Amarhman,"Jobs, Health Services, Clean water",Neither,Try harder,Yes
12/24/2024 15:10,,Trader,Yes,,"I support their party, For change and development ",NDC,"People were not happy with the NPP government and wanted change, Increased in inflation ","I heard, but they didn't help me","He tried, but it wasn't enough",People here always vote NDC,"They made stronger promises, They focused on key issues (farming, roads, schools)",Assifu Bekoe,Salem,"Jobs, Clean water, Electricity ",Emmanuel Drah (NDC),"Come out with best policies, fulfill their policies ",Yes
12/24/2024 15:11,62,Trader ,Yes,,I liked their projects or promises,NDC,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","I heard, but they didn't help me, Bridge ","No, he didn't solve major issues",The NDC’s promises were better,"They were better at reaching people, They made stronger promises",Assifu Bekoe,,Jobs,Emmanuel Drah (NDC),They should provide sufficient jobs,Yes
12/24/2024 15:12,68,Trader,Yes,,"I liked their projects or promises, They were active in the community",NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them, Roads construction ","Yes, he did most of the work needed",None,None,Frederick Adom,Cocoa market ,Jobs,Frederick Obeng Adom (NPP),Continue his loving deeds,Dont know
12/24/2024 15:14,,,Yes,,,,,,,,,,,,,,
12/24/2024 15:14,,Trader ,Yes,,As a citizen ,NPP,,,,,,,,,,,
12/24/2024 15:15,35,Trader,Yes,,For change and development ,None,"People were not happy with the NPP government and wanted change, The NDC’s promises sounded better","Yes, I knew about them, Roads,AstroTurf","He tried, but it wasn't enough","He was more visible and approachable, People were not happy with the NPP government","They focused on key issues (farming, roads, schools)",Salas Mensah,Salem,"Bad roads, Jobs",Frederick Obeng Adom (NPP),Job creation ,Yes
12/24/2024 15:17,57,Farmer,Yes,,I support their party,NPP,None ,"Yes, I knew about them, Gifts","Yes, he did most of the work needed",None ,None ,Frederick Adom,Cocoa market ,"Clean water, Electricity and lavatory ",Frederick Obeng Adom (NPP),Continue what he was doing ,Dont know
12/24/2024 15:19,30,Trader ,Yes,,I liked their projects or promises,NDC,"He didn’t do enough for the community, The NDC’s promises sounded better","Yes, I knew about them, Boreholes ","No, he didn't solve major issues",Adom's boreholes are being sold,"They were better at reaching people, They made stronger promises",Frederick Adom,,Money ,Frederick Obeng Adom (NPP),It depends on what the NDC will do,Yes
12/24/2024 15:21,63,Trader,Yes,,"I liked their projects or promises, Family member ",NPP,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","Yes, he did most of the work needed",None,None,Frederick Adom,Cocoa market ,"Bad roads, Jobs",Neither,Depends on what the current MP will do ,Dont know
12/24/2024 15:22,25,Trader ,Yes,,I liked their projects or promises,NDC,He didn’t do enough for the community,"No, I didn't know about them","No, he didn't solve major issues",For change ,They made stronger promises,Frederick Adom,,"Help for farmers (tools, fertilizer), Jobs, Schools and education, Health Services, Clean water",Emmanuel Drah (NDC),They should make stronger policies ,Yes
12/24/2024 15:22,65,Farmer ,Yes,,"I support their party, For peace",NPP,Increased in inflation ,"Yes, I knew about them, Roads ,water , school ","He tried, but it wasn't enough",People were not happy with the NPP government,They were better at reaching people,Frederick Adom,Salem ,"Bad roads, Jobs, Lavatory ",Frederick Obeng Adom (NPP),"Job creation, fulfill their promises ",Yes
12/24/2024 15:26,52,Trader ,Yes,,I support their party,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them, Roads and shelter in the market","Yes, he did most of the work needed",None,None,Frederick Adom,Cocoa market ,"Jobs, Clean water",Frederick Obeng Adom (NPP),Continue his good deeds,Dont know
12/24/2024 15:28,24,Seamstress ,Yes,,"I support their party, I liked their projects or promises",NPP,His team didn’t help him ,"Yes, I knew about them, Awards, roads ","He tried, but it wasn't enough","People were not happy with the NPP government, Job creation ",Job creation ,Frederick Adom,Salem,"Jobs, Bridge ",Frederick Obeng Adom (NPP),Come out with better policies ,Yes
12/24/2024 15:29,34,Seamstress ,Yes,,I liked their projects or promises,NPP,People vote for NDC here,"Yes, I knew about them, Boreholes, awards ","Yes, he did most of the work needed",People here always vote NDC,People here always vote NDC ,Frederick Adom,,Jobs,Neither,I won't vote again,Yes
12/24/2024 15:29,18,Student ,Yes,,I liked their projects or promises,NDC,The NDC’s promises sounded better,"I heard, but they didn't help me","He tried, but it wasn't enough",He was more visible and approachable,They made stronger promises,Assifu Bekoe,Armah krom ,"Jobs, Health Services, Clean water",Emmanuel Drah (NDC),Job creation ,Yes
12/24/2024 15:30,33,Okada,Yes,,I support their party,NPP,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","He tried, but it wasn't enough",None,None,Frederick Adom,Cocoa market ,Jobs,Frederick Obeng Adom (NPP),Depends on what the current MP will do ,Dont know
12/24/2024 15:30,35,Trader ,No,I wasn’t interested,,,,,,,,,,,,,
12/24/2024 15:31,45,Trader,No,,,,,,,,,,Cocoa market ,,,,Dont know
12/24/2024 15:32,20,Trader,No,I wasn’t interested,,,,,,,,,,,,,
12/24/2024 15:35,30,Trader ,Yes,,I liked their projects or promises,NPP,"People were not happy with the NPP government and wanted change, Don't know ","Yes, I knew about them, Education, training, Roads, boreholes ","Yes, he did most of the work needed","People here always vote NDC, Don't know ",,Frederick Adom,,Jobs,,They should create ,Yes
12/24/2024 15:35,32,Food vendor ,Yes,,I liked their projects or promises,NPP,"People were not happy with the NPP government and wanted change, People vote for NDC here","I heard, but they didn't help me","He tried, but it wasn't enough",People here always vote NDC,None,Frederick Adom,Cocoa market ,Jobs,Frederick Obeng Adom (NPP),Provide with more jobs ,Dont know
